Активные соединения с интернетом (w/o servers)
Proto Recv-Q Send-Q Local Address Foreign Address State      
tcp        0      1 krabikUkrainian:39844   server-13-32-110-:https SYN_SENT   
tcp        0      0 krabikUkrainian:39904   92.38.252.165:https     ESTABLISHED
tcp        0      0 krabikUkrainian:40644   server-13-32-11-73:http ESTABLISHED
tcp        0      0 krabikUkrainian:56380   91.228.74.226:https     TIME_WAIT  
tcp        0      0 krabikUkrainian:35898   XiaoQiang:domain        TIME_WAIT  
tcp        0      0 krabikUkrainian:39328   server-52-84-107-:https TIME_WAIT  
tcp        0      0 krabikUkrainian:40326   ec2-54-156-20-164:https ESTABLISHED
tcp        0      0 krabikUkrainian:38408   server-13-32-110-:https ESTABLISHED
tcp        0      0 krabikUkrainian:42468   waw02s17-in-f6.1e:https ESTABLISHED
tcp        0      0 krabikUkrainian:46968   13.107.42.14:https      ESTABLISHED
tcp        0      0 krabikUkrainian:33944   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:52142   server-99-86-241-:https ESTABLISHED
tcp        0      0 krabikUkrainian:53408   199.232.136.84:https    ESTABLISHED
tcp        0      0 krabikUkrainian:54630   104.18.7.29:https       TIME_WAIT  
tcp        0      0 krabikUkrainian:36410   ssl.sumo.beget.co:https TIME_WAIT  
tcp        0      0 krabikUkrainian:47928   172.66.40.253:https     ESTABLISHED
tcp        0      0 krabikUkrainian:45880   185.4.64.197:https      TIME_WAIT  
tcp6       0      0 krabikUkrainian:1716    192.168.31.235:37388    ESTABLISHED
udp        0      0 krabikUkrainian:bootpc  XiaoQiang:bootps        ESTABLISHED
Активные сокеты домена UNIX (w/o servers)
Proto RefCnt Flags       Type       State         I-Node   Путь
unix  2      [ ]         DGRAM                    35539    /run/wpa_supplicant/p2p-dev-wlp3s0
unix  2      [ ]         DGRAM                    43678    /run/user/1000/systemd/notify
unix  2      [ ]         DGRAM                    39512    @0000c
unix  4      [ ]         DGRAM                    22333    /run/systemd/notify
unix  2      [ ]         DGRAM                    22348    /run/systemd/journal/syslog
unix  19     [ ]         DGRAM                    22358    /run/systemd/journal/dev-log
unix  9      [ ]         DGRAM                    22362    /run/systemd/journal/socket
unix  2      [ ]         DGRAM                    35521    /run/wpa_supplicant/wlp3s0
unix  3      [ ]         STREAM     CONNECTED     51835    
unix  3      [ ]         STREAM     CONNECTED     51797    
unix  3      [ ]         STREAM     CONNECTED     32728    
unix  3      [ ]         SEQPACKET  CONNECTED     94675    
unix  3      [ ]         STREAM     CONNECTED     75866    
unix  2      [ ]         STREAM     CONNECTED     64053    
unix  3      [ ]         STREAM     CONNECTED     60804    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     45302    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     43212    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     36659    /run/systemd/journal/stdout
unix  3      [ ]         SEQPACKET  CONNECTED     85488    
unix  3      [ ]         STREAM     CONNECTED     42696    @/tmp/.ICE-unix/1588
unix  3      [ ]         STREAM     CONNECTED     46151    
unix  3      [ ]         STREAM     CONNECTED     45216    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     30558    
unix  3      [ ]         STREAM     CONNECTED     96621    
unix  3      [ ]         SEQPACKET  CONNECTED     65968    
unix  3      [ ]         STREAM     CONNECTED     47366    
unix  3      [ ]         STREAM     CONNECTED     47364    
unix  3      [ ]         STREAM     CONNECTED     44866    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     37075    
unix  2      [ ]         STREAM     CONNECTED     73761    
unix  3      [ ]         STREAM     CONNECTED     67600    
unix  3      [ ]         STREAM     CONNECTED     48660    /run/user/1000/kded5HzBJPK.1.slave-socket
unix  3      [ ]         STREAM     CONNECTED     49274    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     48443    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     39797    
unix  3      [ ]         STREAM     CONNECTED     41844    
unix  3      [ ]         STREAM     CONNECTED     36846    
unix  3      [ ]         SEQPACKET  CONNECTED     115898   
unix  2      [ ]         DGRAM                    30486    
unix  3      [ ]         STREAM     CONNECTED     102833   
unix  3      [ ]         SEQPACKET  CONNECTED     93396    
unix  2      [ ]         STREAM     CONNECTED     64055    
unix  3      [ ]         STREAM     CONNECTED     48462    
unix  3      [ ]         STREAM     CONNECTED     36856    /run/dbus/system_bus_socket
unix  2      [ ]         STREAM     CONNECTED     78025    
unix  3      [ ]         STREAM     CONNECTED     64896    
unix  3      [ ]         STREAM     CONNECTED     63771    @/tmp/dbus-VFvSlngVmD
unix  3      [ ]         STREAM     CONNECTED     43749    
unix  3      [ ]         STREAM     CONNECTED     39843    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     75721    
unix  3      [ ]         STREAM     CONNECTED     39909    
unix  2      [ ]         DGRAM                    44862    
unix  3      [ ]         STREAM     CONNECTED     32768    /run/cups/cups.sock
unix  3      [ ]         STREAM     CONNECTED     40304    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     45244    
unix  2      [ ]         STREAM     CONNECTED     99013    
unix  3      [ ]         SEQPACKET  CONNECTED     98866    
unix  3      [ ]         STREAM     CONNECTED     86972    
unix  3      [ ]         STREAM     CONNECTED     67439    
unix  3      [ ]         STREAM     CONNECTED     62964    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     45027    @/tmp/.ICE-unix/1588
unix  3      [ ]         STREAM     CONNECTED     39034    
unix  2      [ ]         STREAM     CONNECTED     104104   
unix  3      [ ]         SEQPACKET  CONNECTED     72074    
unix  3      [ ]         SEQPACKET  CONNECTED     71826    
unix  2      [ ]         STREAM     CONNECTED     113916   
unix  3      [ ]         STREAM     CONNECTED     39830    /run/user/1000/bus
unix  2      [ ]         DGRAM                    35290    
unix  3      [ ]         STREAM     CONNECTED     40292    @/tmp/dbus-VFvSlngVmD
unix  2      [ ]         STREAM     CONNECTED     92113    
unix  2      [ ]         STREAM     CONNECTED     89187    
unix  3      [ ]         STREAM     CONNECTED     89105    
unix  3      [ ]         STREAM     CONNECTED     66569    /run/user/1000/bus
unix  3      [ ]         STREAM     CONNECTED     60921    
unix  3      [ ]         STREAM     CONNECTED     60846    @/tmp/.X11-unix/X0
unix  3      [ ]         STREAM     CONNECTED     45015    
unix  3      [ ]         STREAM     CONNECTED     49271    
unix  3      [ ]         STREAM     CONNECTED     44924    /run/dbus/system_bus_socket
unix  3      [ ]         STREAM     CONNECTED     44863    
unix  3      [ ]         SEQPACKET  CONNECTED     84128    
unix  3      [ ]         STREAM     CONNECTED     65943    
unix  2      [ ]         DGRAM                    47365    
unix  3      [ ]         STREAM     CONNECTED     47223    
unix  3      [ ]         STREAM     CONNECTED     32528    /run/systemd/journal/stdout
unix  3      [ ]         STREAM     CONNECTED     36239    
unix  3      [ ]         STREAM     CONNECTED     90731    
